,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,id_calendario,id_provincia
419,10,5111,9390,1165,35,0,0,0.0,1,21
420,103,2953,44232,21977,48201,17243,150043,4771.0,35,5
421,103,2954,44961,22557,64138,19543,121366,3940.0,34,5
422,114,3355,51230,26407,74178,21566,95048,3287.0,33,5
423,156,1463,66428,30308,75214,18621,75031,366.0,32,5
424,36,31,151871,12640,62628,7596,21087,50.0,31,5
425,36,31,137462,10886,56117,4403,20686,50.0,30,5
426,28,40,134386,11216,52533,4061,16615,44.0,29,5
427,28,40,146312,11172,40396,3378,11557,2570.0,28,5
428,58,40,141404,12123,42433,3448,8237,45.0,27,5
429,58,40,142253,12439,35274,3248,5422,2450.0,26,5
430,58,40,140410,12285,17489,2860,3818,0.0,25,5
431,746,9,145139,12955,15237,2165,2628,6901.0,24,5
432,21,1269,206821,2958,10093,1263,349,0.0,23,5
433,20,2522,205165,2971,10092,1256,234,0.0,22,5
434,20,1786,205383,2837,5702,111,140,0.0,21,5
435,20,1463,197450,2494,4726,19,132,0.0,20,5
436,20,1525,199297,2476,4727,27,129,0.0,19,5
437,20,1658,164596,515,266,17,72,33788.0,18,5
438,20,1662,164599,501,266,19,72,33788.0,17,5
439,26,1656,177646,438,278,29,81,0.0,16,5
440,32,95,158461,115,67,29,19,0.0,15,5
441,109,24,177203,92,50,5,22,0.0,14,5
442,106,15,177201,86,50,5,22,0.0,13,5
443,114,16,177194,79,49,5,20,0.0,12,5
444,37,10,178186,73,48,5,17,0.0,11,5
445,437,30,176922,61,44,5,20,0.0,10,5
446,235,21,175376,47,43,5,17,0.0,9,5
447,241,23,174719,38,41,5,13,0.0,8,5
448,256,25,173430,45,18,5,13,0.0,7,5
449,268,26,170451,42,16,5,13,0.0,6,5
450,287,24,169763,38,16,6,11,0.0,5,5
451,303,19,169222,36,14,5,12,0.0,4,5
452,35,0,167763,31,12,13,1,0.0,3,5
453,35,6,166710,31,10,5,10,0.0,2,5
454,35,6,166655,19,10,6,9,0.0,1,5
455,51,3749,36628,20758,12676,19615,80330,8350.0,35,9
