,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),id_calendario,id_provincia
673,27279,24635,1992,133,519,27,23
674,27239,24492,2143,126,478,26,23
675,29360,26340,2354,130,536,25,23
676,30409,27196,2424,135,654,24,23
677,32023,28682,2515,139,687,23,23
678,30409,27196,2424,135,654,22,23
679,34171,30202,2690,143,1136,21,23
680,44277,39576,3232,180,1289,20,23
681,44198,39464,3235,177,1322,19,23
682,44258,39399,3248,175,1436,18,23
683,44206,38827,3254,171,1954,17,23
684,47233,41297,3322,174,2440,16,23
685,44728,38985,3199,164,2380,15,23
686,44254,38530,3237,162,2325,14,23
687,47233,41286,3327,175,2445,13,23
688,47233,41297,3322,174,2440,12,23
689,44728,38985,3199,164,2380,11,23
690,44254,38530,3237,162,2325,10,23
691,47233,41286,3327,175,2445,9,23
692,52927,44465,5323,187,2952,8,23
693,60005,49939,6542,210,3314,7,23
694,58897,48876,6502,203,3316,6,23
695,57685,47801,6488,211,3185,5,23
696,41523,34237,4742,142,2402,4,23
697,41015,33810,4658,139,2408,3,23
698,40728,33577,4577,134,2440,2,23
699,40625,33555,4528,131,2411,1,23
700,480920,439699,32160,2116,6945,35,3
701,432487,396087,28788,1826,5786,34,3
702,628962,573125,43470,2797,9570,33,3
703,655796,596238,46324,2946,10288,32,3
704,539814,486509,41353,2638,9314,31,3
705,655796,596238,46324,2946,10288,30,3
706,570118,511464,44125,2695,11834,29,3
707,592374,532634,46601,2747,10392,28,3
708,624379,563862,45584,3048,11885,27,3
709,592374,532634,46601,2747,10392,26,3
710,624563,560308,50086,2762,11407,25,3
711,643060,575111,51264,2862,13823,24,3
712,647965,580363,50884,2818,13900,23,3
713,643060,575111,51264,2862,13823,22,3
714,685178,605596,53942,2865,22775,21,3
715,697606,623546,50916,2833,20311,20,3
716,672622,600589,49224,2694,20115,19,3
717,685345,610100,50297,2717,22231,18,3
718,689027,605181,50724,2669,30453,17,3
719,742944,649567,52249,2741,38387,16,3
720,739999,644988,52929,2708,39374,15,3
721,741843,645875,54264,2723,38981,14,3
722,741856,648454,52254,2742,38406,13,3
723,742944,649567,52249,2741,38387,12,3
724,739999,644988,52929,2708,39374,11,3
725,741843,645875,54264,2723,38981,10,3
726,741856,648454,52254,2742,38406,9,3
727,758242,637008,76264,2673,42297,8,3
728,766859,638212,83607,2688,42352,7,3
729,764496,634414,84400,2634,43048,6,3
730,766506,635174,86211,2803,42318,5,3
731,770455,635273,87981,2635,44566,4,3
732,772744,636998,87757,2614,45375,3,3
733,767767,632973,86275,2520,45999,2,3
734,770361,636284,85867,2491,45719,1,3
735,62735,57358,4195,276,906,35,12
736,53467,48967,3559,226,715,34,12
737,67522,61528,4667,300,1027,33,12
738,66649,60596,4708,299,1046,32,12
739,57376,51711,4395,280,990,31,12
740,66649,60596,4708,299,1046,30,12
741,62157,55762,4811,294,1290,29,12
742,66338,59647,5219,308,1164,28,12
743,66338,59908,4843,324,1263,27,12
744,66338,59647,5219,308,1164,26,12
745,67237,60320,5392,297,1228,25,12
746,68405,61178,5453,304,1470,24,12
747,69371,62133,5448,302,1488,23,12
748,68405,61178,5453,304,1470,22,12
749,72886,64420,5738,305,2423,21,12
750,74168,66295,5413,301,2159,20,12
751,53667,47920,3927,215,1605,19,12
752,55208,49146,4052,219,1791,18,12
753,57141,50188,4207,221,2525,17,12
754,64481,56376,4535,238,3332,16,12
755,65541,57126,4688,240,3487,15,12
756,66024,57484,4829,242,3469,14,12
757,64481,56363,4542,238,3338,13,12
758,64481,56376,4535,238,3332,12,12
759,65541,57126,4688,240,3487,11,12
760,66024,57484,4829,242,3469,10,12
761,64481,56363,4542,238,3338,9,12
762,68531,57573,6893,242,3823,8,12
763,69165,57562,7541,242,3820,7,12
764,70102,58175,7739,241,3947,6,12
765,70101,58091,7884,256,3870,5,12
766,70523,58150,8053,241,4079,4,12
767,70719,58296,8031,239,4153,3,12
768,70616,58218,7935,232,4231,2,12
769,70717,58409,7882,229,4197,1,12
770,21573,19723,1443,95,312,35,24
771,18937,17343,1261,80,253,34,24
772,21573,19658,1491,96,328,33,24
773,18937,17217,1338,85,297,32,24
774,21573,19443,1653,105,372,31,24
775,18937,17217,1338,85,297,30,24
776,21573,19353,1670,102,448,29,24
777,21573,19398,1697,100,378,28,24
778,21573,19482,1575,105,411,27,24
779,21573,19398,1697,100,378,26,24
780,23550,21127,1889,104,430,25,24
781,24283,21717,1936,108,522,24,24
782,25143,22521,1974,109,539,23,24
783,24283,21717,1936,108,522,22,24
784,25181,22257,1982,105,837,21,24
785,33372,29828,2436,136,972,20,24
786,33372,29798,2442,134,998,19,24
787,33372,29708,2449,132,1083,18,24
788,33372,29311,2457,129,1475,17,24
789,38952,34056,2739,144,2013,16,24
790,38815,33832,2776,142,2065,15,24
791,37976,33064,2778,139,1995,14,24
792,38952,34047,2744,144,2017,13,24
793,38952,34056,2739,144,2013,12,24
794,38815,33832,2776,142,2065,11,24
795,37976,33064,2778,139,1995,10,24
796,38952,34047,2744,144,2017,9,24
797,35528,29848,3573,125,1982,8,24
798,35152,29256,3832,123,1941,7,24
799,34186,28369,3774,118,1925,6,24
800,33423,27697,3759,122,1845,5,24
801,32912,27137,3758,113,1904,4,24
802,32698,26954,3713,111,1920,3,24
803,32631,26902,3667,107,1955,2,24
804,32631,26951,3637,106,1937,1,24
805,164158,150088,10977,722,2371,35,6
806,131703,120618,8767,556,1762,34,6
807,185032,168606,12788,823,2815,33,6
808,165702,150653,11705,744,2600,32,6
809,133062,119923,10193,650,2296,31,6
810,165702,150653,11705,744,2600,30,6
811,163185,146397,12630,771,3387,29,6
812,181343,163055,14266,841,3181,28,6
813,181967,164330,13285,888,3464,27,6
814,181343,163055,14266,841,3181,26,6
815,182424,163656,14629,807,3332,25,6
816,187391,167590,14939,834,4028,24,6
817,192297,172235,15101,836,4125,23,6
818,187391,167590,14939,834,4028,22,6
819,206715,182705,16274,865,6871,21,6
820,210346,188016,15352,854,6124,20,6
821,213747,190856,15643,856,6392,19,6
822,214298,190770,15727,850,6951,18,6
823,214755,188622,15810,832,9491,17,6
824,211561,184971,14878,781,10931,16,6
825,211547,184386,15131,774,11256,15,6
826,210228,183031,15378,772,11047,14,6
827,211561,184925,14902,782,10952,13,6
828,211561,184971,14878,781,10931,12,6
829,211547,184386,15131,774,11256,11,6
830,210228,183031,15378,772,11047,10,6
831,211561,184925,14902,782,10952,9,6
832,213717,179546,21496,753,11922,8,6
833,213481,177668,23275,748,11790,7,6
834,212182,176078,23425,731,11948,6,6
835,212265,175896,23874,776,11719,5,6
836,212990,175620,24322,728,12320,4,6
837,212958,175548,24185,720,12505,3,6
838,211913,174709,23813,695,12696,2,6
839,210917,174209,23509,682,12517,1,6
