,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),id_calendario,id_provincia
146,73068,65551,5655,345,1517,29,18
147,73019,65655,5744,339,1281,28,18
148,72950,65879,5326,356,1389,27,18
149,73019,65655,5744,339,1281,26,18
150,78692,70596,6311,348,1437,25,18
151,81784,73142,6520,364,1758,24,18
152,83907,75153,6589,365,1800,23,18
153,81784,73142,6520,364,1758,22,18
154,88768,78458,6988,371,2951,21,18
155,117520,105044,8577,477,3422,20,18
156,116981,104453,8561,469,3498,19,18
157,117005,104159,8587,464,3795,18,18
158,113978,100108,8391,442,5037,17,18
159,122592,107185,8621,452,6334,16,18
160,118225,103046,8456,433,6290,15,18
161,115321,100403,8435,423,6060,14,18
162,122592,107157,8635,453,6347,13,18
163,122592,107185,8621,452,6334,12,18
164,118225,103046,8456,433,6290,11,18
165,115321,100403,8435,423,6060,10,18
166,122592,107157,8635,453,6347,9,18
167,110994,93247,11164,391,6192,8,18
168,110101,91630,12004,386,6081,7,18
169,107612,89302,11880,371,6059,6,18
170,104281,86414,11729,381,5757,5,18
171,99562,82093,11369,341,5759,4,18
172,98074,80845,11138,332,5759,3,18
173,97603,80467,10968,320,5848,2,18
174,97607,80618,10880,316,5793,1,18
175,473176,432619,31642,2082,6833,35,2
176,397168,363741,26437,1677,5313,34,2
177,579645,528186,40061,2578,8820,33,2
178,583715,530703,41233,2622,9157,32,2
179,484017,436222,37079,2365,8351,31,2
180,583715,530703,41233,2622,9157,30,2
181,523748,469865,40536,2476,10871,29,2
182,535102,481136,42096,2482,9388,28,2
183,549383,496134,40109,2682,10458,27,2
184,535102,481136,42096,2482,9388,26,2
185,574075,515015,46037,2539,10484,25,2
186,604424,540558,48184,2690,12992,24,2
187,612366,548479,48088,2663,13136,23,2
188,604424,540558,48184,2690,12992,22,2
189,656248,580025,51665,2744,21814,21,2
190,671019,599782,48975,2725,19537,20,2
191,674653,602402,49373,2702,20176,19,2
192,683794,608719,50183,2711,22181,18,2
193,691843,607654,50932,2680,30577,17,2
194,704306,615786,49531,2598,36391,16,2
195,704433,613989,50385,2578,37481,15,2
196,703322,612339,51446,2581,36956,14,2
197,702744,614267,49499,2597,36381,13,2
198,704306,615786,49531,2598,36391,12,2
199,704433,613989,50385,2578,37481,11,2
200,703322,612339,51446,2581,36956,10,2
201,702744,614267,49499,2597,36381,9,2
202,721431,606084,72561,2543,40243,8,2
203,727761,605673,79344,2551,40193,7,2
204,724175,600954,79949,2495,40777,6,2
205,729084,604164,82002,2666,40252,5,2
