,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros
97,2021,3,Capital Federal,142902,1192107,42966,6059,29371
98,2021,3,Catamarca,18413,11709,22331,1568,2233
99,2021,3,Chaco,38258,63659,27583,8018,2353
100,2021,3,Chubut,49269,55794,8946,23376,18681
101,2021,3,Córdoba,229275,477223,167495,57617,15178
102,2021,3,Corrientes,44805,69403,7542,6766,5303
103,2021,3,Entre Ríos,74443,128752,20485,23500,13195
104,2021,3,Formosa,18093,14111,4730,15690,171
105,2021,3,Jujuy,23554,60758,19926,2952,3968
106,2021,3,La Pampa,9015,57881,17817,14479,1295
107,2021,3,La Rioja,11329,54744,9444,6613,30
108,2021,3,Mendoza,91474,71247,70579,21811,828
109,2021,3,Misiones,43230,89469,10969,7198,7662
110,2021,3,Neuquén,29650,73794,16455,19270,640
111,2021,3,Río Negro,47934,44519,18725,15031,18376
112,2021,3,Salta,49212,98318,36126,5724,6453
113,2021,3,San Juan,40072,12922,6670,11372,8447
114,2021,3,San Luis,8417,11884,27,68856,28680
115,2021,3,Santa Cruz,12347,22961,6328,4269,3071
116,2021,3,Santa Fe,245929,443156,93412,43447,15640
117,2021,3,Santiago Del Estero,19939,85535,909,6147,2928
118,2021,3,Tierra Del Fuego,12853,36958,6,16,390
119,2021,3,Tucumán,104489,53868,70964,2408,743
120,2021,2,Buenos Aires,603255,2503830,854173,113546,57547
121,2021,2,Capital Federal,148989,1175097,41318,5580,29371
122,2021,2,Catamarca,20305,9426,22331,1449,2233
123,2021,2,Chaco,39826,62948,27584,8018,2353
124,2021,2,Chubut,49271,41497,6081,23682,18706
125,2021,2,Córdoba,239780,467782,151855,55944,15519
126,2021,2,Corrientes,46648,67262,3731,6557,5303
127,2021,2,Entre Ríos,77836,124957,17856,23786,13197
128,2021,2,Formosa,19571,12509,3610,15690,171
129,2021,2,Jujuy,24738,60800,19611,2731,3968
130,2021,2,La Pampa,9017,57014,17132,13209,1295
131,2021,2,La Rioja,11627,54255,9445,6245,30
132,2021,2,Mendoza,91503,70834,44696,21811,827
133,2021,2,Misiones,44960,87861,10376,5317,7662
134,2021,2,Neuquén,30083,72690,15619,19218,640
135,2021,2,Río Negro,48189,43761,18727,15031,18376
136,2021,2,Salta,51396,96016,32050,5724,6453
137,2021,2,San Juan,40072,12369,6673,11372,8447
138,2021,2,San Luis,8417,11308,28,66860,36205
139,2021,2,Santa Cruz,12347,22967,6328,4269,3071
140,2021,2,Santa Fe,256741,431915,90424,43997,17523
141,2021,2,Santiago Del Estero,20734,83770,909,5081,3596
142,2021,2,Tierra Del Fuego,12853,22504,6,14,316
143,2021,2,Tucumán,110429,48359,71683,1837,743
144,2021,1,Buenos Aires,629679,2452056,821597,98806,57864
145,2021,1,Capital Federal,159805,1145093,39980,5559,29236
146,2021,1,Catamarca,26316,4409,18688,322,2233
147,2021,1,Chaco,43214,61251,25426,8004,1875
148,2021,1,Chubut,45501,40960,3444,23723,18712
149,2021,1,Córdoba,260350,444695,134634,54137,17065
150,2021,1,Corrientes,49160,62876,3337,5949,5303
151,2021,1,Entre Ríos,83688,118424,16846,20836,12169
152,2021,1,Formosa,20663,11412,2562,15669,380
153,2021,1,Jujuy,32254,54324,17322,2677,3879
154,2021,1,La Pampa,8946,58711,15779,12369,1300
155,2021,1,La Rioja,17363,34984,1,250,30
156,2021,1,Mendoza,91844,69295,38619,18332,833
157,2021,1,Misiones,48292,82339,7064,4796,6896
158,2021,1,Neuquén,30223,70457,14171,17752,632
159,2021,1,Río Negro,48777,42192,17828,13994,18377
160,2021,1,Salta,54768,89187,31498,5669,6452
161,2021,1,San Juan,40072,11589,6671,11482,8453
162,2021,1,San Luis,8417,10678,28,63826,36205
163,2021,1,Santa Cruz,12347,23089,5975,4264,390
164,2021,1,Santa Fe,277012,421480,70976,39140,17519
165,2021,1,Santiago Del Estero,26468,75849,570,5158,3596
166,2021,1,Tierra Del Fuego,12853,27247,6,0,316
167,2021,1,Tucumán,147199,12185,69954,1834,740
168,2020,4,Buenos Aires,635651,2441248,804991,93444,57927
169,2020,4,Capital Federal,163060,1142528,39890,4815,29237
170,2020,4,Catamarca,26870,5115,17856,322,2233
171,2020,4,Chaco,44332,61200,23687,7997,1875
172,2020,4,Chubut,45703,39756,3040,23363,18712
173,2020,4,Córdoba,267396,439322,125620,52827,17536
174,2020,4,Corrientes,50102,61495,3146,5626,5290
175,2020,4,Entre Ríos,85683,113670,15653,20206,12169
176,2020,4,Formosa,21264,10789,2432,15341,380
177,2020,4,Jujuy,32850,52815,15639,1077,3470
178,2020,4,La Pampa,9009,58945,15432,12194,1315
179,2020,4,La Rioja,17513,34984,1,250,30
180,2020,4,Mendoza,91842,68364,36083,18331,833
181,2020,4,Misiones,49462,79855,6589,4359,6896
182,2020,4,Neuquén,30468,70614,13732,17689,632
183,2020,4,Río Negro,48991,42022,17826,13994,18377
184,2020,4,Salta,56659,87817,30604,5858,6452
185,2020,4,San Juan,40072,7004,6599,10468,8453
186,2020,4,San Luis,8417,11767,27,63019,36205
187,2020,4,Santa Cruz,12347,19657,1041,4659,2970
188,2020,4,Santa Fe,287271,414746,62692,38712,17392
189,2020,4,Santiago Del Estero,26812,70522,570,5169,3596
190,2020,4,Tierra Del Fuego,12853,26439,6,0,316
191,2020,4,Tucumán,149322,11150,68043,1834,740
192,2020,3,Buenos Aires,653930,2384557,749087,94162,55541
193,2020,3,Capital Federal,170375,1129573,39417,3936,29374
194,2020,3,Catamarca,26868,3690,16857,261,2228
195,2020,3,Chaco,45745,58825,20675,6706,2003
196,2020,3,Chubut,45761,39386,2897,23216,18767
197,2020,3,Córdoba,276360,430771,102217,48368,9756
198,2020,3,Corrientes,50858,58681,2960,5513,5379
199,2020,3,Entre Ríos,87892,106950,13954,20379,12320
200,2020,3,Formosa,21790,10003,2000,15023,393
201,2020,3,Jujuy,32611,57682,11112,952,4371
202,2020,3,La Pampa,9015,56845,14677,11893,1305
203,2020,3,La Rioja,17346,34984,1,250,35
204,2020,3,Mendoza,91908,64672,32817,17523,868
205,2020,3,Misiones,50195,77989,2572,3445,8985
206,2020,3,Neuquén,30222,70446,11043,16787,737
207,2020,3,Río Negro,49530,40001,10381,13187,18368
208,2020,3,Salta,58216,84128,25445,5764,7293
209,2020,3,San Juan,40092,9223,5509,14023,8480
210,2020,3,San Luis,8401,10077,6,61828,36253
211,2020,3,Santa Cruz,12845,16098,1027,6938,2373
212,2020,3,Santa Fe,295051,405807,45721,37112,19307
213,2020,3,Santiago Del Estero,26419,70720,555,4185,3613
214,2020,3,Tierra Del Fuego,12854,26491,0,0,310
215,2020,3,Tucumán,149605,11752,59949,1808,762
216,2020,2,Buenos Aires,661272,2244277,723072,91736,57189
217,2020,2,Capital Federal,178896,1106133,39482,3937,29373
218,2020,2,Catamarca,26968,3641,14878,261,2228
219,2020,2,Chaco,46816,56017,17266,6452,1581
220,2020,2,Chubut,45761,38279,1324,17678,5614
221,2020,2,Córdoba,282858,415007,85818,44522,8263
222,2020,2,Corrientes,51248,55536,3144,3927,5011
223,2020,2,Entre Ríos,89391,99423,13954,20042,11303
224,2020,2,Formosa,21805,9353,1882,14723,169
